test_name,short_description,clinical_overview
CARDIO IQ VITAMIN D 25OH LC/MS/MS,This test measures the amount of 25-hydroxyvitamin D in your blood. It helps determine if your body has adequate levels of this essential vitamin.,"The test measures the concentration of 25-hydroxyvitamin D, which is the primary form of Vitamin D found in the bloodstream. This measurement is used to assess a person's overall Vitamin D status and evaluate potential deficiencies. Low levels may be associated with various health concerns, including bone issues or increased risk factors for cardiovascular problems. The results help healthcare providers determine if supplementation is needed to maintain healthy vitamin levels. It is important to note that this test alone cannot diagnose any specific condition."
LIPID PNL W/REF DIR LDL,"Measures various fats (lipids) in the blood, including a direct measurement of Low-Density Lipoprotein (LDL) cholesterol. This helps doctors assess your risk for heart disease.","This panel measures several types of fats, or lipids, circulating in the bloodstream. It provides quantitative levels of total cholesterol and specifically quantifies LDL cholesterol, which is often referred to as 'bad' cholesterol. Physicians order this test primarily to evaluate an individual’s overall cardiovascular risk profile. Elevated levels of LDL are associated with plaque buildup in the arteries, a condition that increases the risk of heart attack or stroke. The results help guide decisions regarding necessary lifestyle modifications or medication management."
ANTIPHOSPHOLIPID AB,"This test measures specific antibodies in your blood that target phospholipids, a type of fat molecule. High levels may indicate an increased risk of forming blood clots or affecting normal clotting ability.","The Anti-phospholipid Antibody test evaluates the presence of certain autoantibodies (antibodies made by the immune system) that target components called phospholipids. These antibodies are associated with Antiphospholipid Syndrome (APS), a condition that can increase the risk of developing blood clots in various parts of the body or cause recurrent pregnancy loss. Physicians typically order this test when unexplained clotting events, such as deep vein thrombosis, or repeated miscarriages have occurred. A positive result suggests an increased risk and requires further medical evaluation to determine if treatment is necessary; however, a positive finding alone does not confirm a diagnosis."
Lipid Panel w/ Ratios,"This test measures key fats, including cholesterol and triglycerides, in your blood to assess overall cardiovascular risk.","The Lipid Panel assesses levels of various fats, or lipids, circulating in the bloodstream. It specifically measures total cholesterol, LDL (low-density lipoprotein), HDL (high-density lipoprotein), and triglycerides. These measurements help doctors evaluate a person's risk for heart disease and stroke because high levels of certain fats can contribute to plaque buildup in the arteries. Elevated results may indicate metabolic issues or lifestyle factors that require management. However, these numbers alone do not diagnose any condition; they are used by your healthcare provider alongside symptoms and physical exams."
VLDL CHOLESTEROL,"This test measures VLDL cholesterol, which is a type of particle that carries fats (triglycerides) in your blood. Elevated levels may suggest high triglyceride amounts and increased risk for heart disease.","The VLDL cholesterol test measures the concentration of Very Low-Density Lipoprotein particles circulating in the bloodstream. These particles are responsible for transporting triglycerides, a type of fat found in the blood. Physicians order this test as part of a comprehensive lipid panel to assess overall cardiovascular risk. Elevated levels may indicate high triglyceride amounts or other metabolic conditions that increase the risk for heart disease and stroke. The results help healthcare providers determine if lifestyle changes, such as diet modification or exercise, are needed, or if medication is required."
"CHOLESTEROL, TOTAL",This test measures the total amount of fats (lipids) circulating in your blood. High levels can be associated with an increased risk for heart and blood vessel problems.,"Total cholesterol measures the combined concentration of all types of fats, or lipids, found in the bloodstream. This test is ordered to evaluate a person's overall cardiovascular health and assess their long-term risk for conditions like heart attack or stroke. Elevated levels suggest that plaque may be building up inside the arteries, which can restrict blood flow over time. While this result does not diagnose heart disease on its own, it helps healthcare providers determine if lifestyle changes or medication are needed to manage your lipid profile."
HDL-CHOLESTEROL,Measures high-density lipoprotein (HDL) cholesterol in the blood. Higher levels are generally associated with a lower risk of heart disease.,"This test measures the concentration of HDL cholesterol, which is a type of protein particle that helps remove excess cholesterol from the bloodstream and carry it back to the liver for removal. It is typically ordered as part of a lipid panel to assess an individual's overall cardiovascular risk profile. Low levels of HDL are associated with an increased risk of heart disease because they indicate less ability to clear harmful fats from the arteries. Conversely, higher levels suggest better management of blood lipids. These results help healthcare providers determine if lifestyle modifications or medical treatments are needed to maintain optimal heart health."
LIPID PANEL (Cholesterol Test),"This test measures different types of fats (lipids) in your blood, including total cholesterol, LDL, HDL, and triglycerides.","The lipid panel measures the concentrations of various fats circulating in the bloodstream, specifically total cholesterol, low-density lipoprotein (LDL), high-density lipoprotein (HDL), and triglycerides. These measurements are ordered to assess an individual's overall cardiovascular risk and evaluate metabolic health. Elevated levels of certain lipids, such as LDL or triglycerides, can contribute to plaque buildup in the arteries, which increases the risk of heart disease. Conversely, low HDL levels may also be a concern for heart health. The results help healthcare providers determine if lifestyle changes or medication adjustments are needed to maintain healthy blood flow."
xLIPID PANEL CARDIO IQ(R),"Measures different types of fats, or lipids, in your blood. This test evaluates cholesterol and triglycerides to assess cardiovascular risk.","This panel measures several key substances called lipids—fats found in the blood—including total cholesterol, LDL (low-density lipoprotein), HDL (high-density lipoprotein), and triglycerides. Physicians order this test primarily to evaluate a person's overall risk for heart disease and stroke. High levels of certain fats, such as elevated LDL or triglycerides, can contribute to plaque buildup in the arteries over time. Conversely, low levels of protective fats like HDL may also be concerning. The results help healthcare providers determine if lifestyle changes, diet adjustments, or medication are necessary to maintain cardiovascular health."
"CARDIO IQ CHOLESTEROL, TOTAL","This test measures the total amount of cholesterol in your blood. Cholesterol is a waxy substance needed by the body, but high levels can affect heart health.","Total cholesterol measurement assesses the overall concentration of cholesterol circulating in the bloodstream. This value is an important component used to evaluate a person's risk for cardiovascular disease, such as plaque buildup in the arteries. Elevated total cholesterol may indicate that lifestyle changes or medical management are needed to reduce long-term heart risks. The results help healthcare providers determine if further testing or treatment is necessary to maintain vascular health."
CARDIO IQ HDL CHOLESTEROL,This test measures High-Density Lipoprotein (HDL) cholesterol levels in your blood. HDL is often called 'good' cholesterol because it helps remove excess cholesterol from arteries.,"The CARDIO IQ HDL Cholesterol test quantifies the amount of High-Density Lipoprotein (HDL), a type of particle in the blood that plays a role in clearing excess cholesterol. This measurement is ordered by healthcare providers to help assess an individual's overall cardiovascular risk profile, particularly when monitoring patients with existing heart conditions or known risk factors. Elevated levels of HDL are generally associated with a reduced risk of plaque buildup in the arteries (atherosclerosis). Conversely, low levels may suggest that the body has difficulty removing excess cholesterol, which can increase the risk for heart disease and stroke. The results help guide decisions regarding lifestyle modifications or potential medical management."
THYROID PNL/TSH RFX,"This blood test measures key hormones and antibodies related to thyroid function, helping determine if the gland is working correctly or if an autoimmune issue is present.","This panel evaluates the health of the thyroid gland by measuring levels of Thyroid Stimulating Hormone (TSH) and specific autoantibodies. TSH helps doctors understand how well your pituitary gland is signaling the thyroid to function. The test is ordered when a person has symptoms suggesting an overactive or underactive thyroid, or if there is suspicion of an autoimmune condition attacking the thyroid tissue. Abnormal results can indicate hormonal imbalances that require further investigation and treatment planning by a healthcare provider."
ESTRADIOL RAPID,"This test measures the concentration level of estradiol, a primary female sex hormone. It helps doctors evaluate hormonal balance and reproductive health.","Estradiol is one of the main hormones produced by ovaries that plays a key role in regulating the menstrual cycle and supporting bone density. This quantitative test measures the amount of this hormone present in your blood. Doctors order this test to monitor normal hormonal fluctuations, assess ovarian function, or evaluate symptoms related to changes in sex hormones, such as those seen during menopause. Elevated or low levels can help guide treatment decisions regarding reproductive health or hormone replacement therapy, but results must always be interpreted alongside your medical history and physical exam findings."
"CARDIO IQ CHOLESTEROL, TOTAL","This test measures the total amount of testosterone, a key male sex hormone, circulating in your blood. It helps doctors evaluate if these levels are within a normal range.","The Testosterone, Total test quantifies the overall concentration of testosterone—a primary male sex hormone—found in the bloodstream. Doctors order this test to help assess potential hormonal imbalances or changes related to reproductive and metabolic health. Results are used to evaluate whether the body is producing adequate levels of this hormone, which can be important for diagnosing conditions like hypogonadism (low testosterone). While results provide objective data, they must always be interpreted by a healthcare provider alongside your symptoms, medical history, and physical examination findings."
"ESTRADIOL, Ultrasensitive, LC/MS","This test measures estradiol, a key estrogen hormone found in your blood. It helps doctors assess overall hormonal balance.","Estradiol is one of the primary estrogen hormones produced by the body. This quantitative test measures the specific concentration of this hormone in the blood sample. Doctors order this test to evaluate reproductive health, monitor changes related to menopause, or investigate potential imbalances in the endocrine system. Elevated or low levels can provide information about hormonal status but are only part of a complete picture when reviewed alongside your medical history and physical exam findings."
TSIG (Thyroid Stimulating Immunoglobulin),This blood test measures specific antibodies that mistakenly signal your thyroid gland to produce excess hormones.,"TSIG tests measure circulating antibodies in the blood that target the thyroid gland. These antibodies can mimic natural signals, causing the thyroid to become overactive and release too much hormone. Doctors typically order this test when a person has symptoms of an overactive thyroid (hyperthyroidism) and they need help determining if the cause is autoimmune, such as Graves' disease. A positive result suggests that your immune system is stimulating the gland; however, these results must be interpreted by a healthcare provider alongside physical exam findings and other blood tests to determine the overall diagnosis."
TSH W/REFL FT4,Measures Thyroid-Stimulating Hormone (TSH) and Free Thyroxine (FT4) levels in the blood to evaluate how well your thyroid gland is functioning.,"This test measures two hormones, TSH and FT4, circulating in the blood. TSH is a signal hormone produced by the pituitary gland that tells the thyroid gland to work; FT4 is one of the main hormones the thyroid produces. Doctors order this panel to evaluate overall thyroid function and determine if the gland is producing enough or too much hormone. Abnormal levels can indicate conditions such as hypothyroidism (underactive thyroid) or hyperthyroidism (overactive thyroid). The results are interpreted by a healthcare provider alongside your symptoms, medical history, and physical exam findings."
TESTOSTERONE FREE & TOTAL,"Measures both total testosterone (all circulating hormone) and free testosterone, which is the amount available to act on tissues.","This test measures two components of male sex hormones: total testosterone, which represents all the hormone in your blood, and free testosterone, which is the portion that is biologically active. Doctors order this test when they need to evaluate potential hormonal imbalances or monitor how well a treatment is working. Low levels may be associated with symptoms such as fatigue, changes in libido (sex drive), or muscle weakness. The results help healthcare providers determine if your hormone levels are within the expected range for your age and health status."
Testosterone Free & Total with SHBG,"This test measures total testosterone and the amount that is biologically active (free), along with SHBG, a protein that binds to sex hormones.","This blood test evaluates three components of male sex hormone status: total testosterone, free testosterone, and Sex Hormone-Binding Globulin (SHBG). The purpose is to determine overall hormonal balance by measuring the amount of testosterone available to the body's tissues. SHBG acts like a carrier protein; when it levels change, it can affect how much testosterone is circulating freely. Abnormal results may help evaluate potential issues with sex hormone levels or assess conditions that impact liver function or thyroid status. These results are used by healthcare providers in conjunction with symptoms and physical exams to guide diagnosis and management."
ESTRADIOL,"This test measures the amount of estradiol, a primary type of estrogen hormone. It helps doctors assess overall reproductive or hormonal balance.","Estradiol is one of the main types of estrogen hormones produced by the body and plays a key role in regulating normal bodily functions, including the menstrual cycle and bone health. This test measures the concentration of estradiol in blood to evaluate current hormonal status. Doctors typically order this test when symptoms suggest an imbalance, such as those related to perimenopause or when monitoring hormone replacement therapy. Abnormal levels—either too high or too low—may indicate changes in ovarian function or other endocrine issues that require further investigation."
THYROID PEROXID AB,This test measures antibodies that target an enzyme found in the thyroid gland. High levels may suggest an autoimmune condition affecting the thyroid.,"The Thyroid Peroxidase Antibody (TPO Ab) test detects specific antibodies, which are proteins made by the immune system, that mistakenly attack the thyroid gland. These antibodies indicate whether the body's immune system is reacting against its own thyroid tissue, suggesting an autoimmune process. Physicians typically order this test when a person has symptoms of thyroid problems, such as unexplained fatigue or weight changes, to help determine the underlying cause. Elevated levels suggest inflammation or damage to the thyroid, often associated with conditions like Hashimoto’s thyroiditis; however, these results must be interpreted alongside physical exam findings and other blood tests for a complete diagnosis."
TSH 5 SPEC,This test measures Thyroid-Stimulating Hormone (TSH) in your blood. It helps doctors check if your thyroid gland is producing enough hormones.,"The TSH test measures the level of Thyroid-Stimulating Hormone, a hormone released by the pituitary gland that signals the thyroid to function correctly. Doctors order this test primarily to evaluate overall thyroid health and monitor how well existing treatments are working. Elevated or low TSH levels suggest that the body's thyroid system may not be functioning normally; for example, high levels can indicate underactive thyroid (hypothyroidism). The results must be interpreted by a healthcare provider alongside your symptoms and physical exam findings."
TSH 4 SPEC,This test measures Thyroid-Stimulating Hormone (TSH) in your blood. It helps doctors check if your thyroid gland is producing enough hormones.,"The TSH hormone is released by the pituitary gland and acts as a signal to control how much thyroid hormone your body needs. This quantitative blood test measures the level of this signaling hormone, which helps healthcare providers evaluate overall thyroid function. Elevated or low levels may indicate that the thyroid gland itself is underperforming or overperforming. These results are used in conjunction with your symptoms, physical exam findings, and other lab tests to help determine if treatment for conditions like hypothyroidism or hyperthyroidism is necessary."
TSH 3 SPEC,This test measures Thyroid-Stimulating Hormone (TSH) in your blood. TSH levels help doctors monitor how well your thyroid gland is producing hormones.,"The TSH test measures the level of Thyroid-Stimulating Hormone, a hormone released by the pituitary gland that regulates the function of the thyroid gland. Doctors order this test to evaluate overall thyroid health and determine if the body's hormonal system is functioning correctly. Elevated or low TSH levels suggest that the thyroid may be underactive (hypothyroidism) or overactive (hyperthyroidism). These results are used by your healthcare provider, along with a review of your symptoms and physical exam findings, to help diagnose potential thyroid conditions."
TSH 2 SPEC,"This test measures Thyroid-Stimulating Hormone (TSH), a hormone that signals the thyroid gland. It helps doctors check if your thyroid is producing enough hormones.","The TSH test measures the level of Thyroid-Stimulating Hormone in the blood. This hormone, released by the pituitary gland, acts as a signal to tell the thyroid gland how much thyroid hormone (T4 and T3) to produce. Doctors order this test to evaluate overall thyroid function and help determine if the levels are balanced. Elevated or low TSH results can suggest conditions like hypothyroidism (underactive thyroid) or hyperthyroidism (overactive thyroid). These results, along with symptoms and physical exam findings, help guide treatment decisions for managing these hormonal imbalances."
THYROID PANEL (QUEST PANEL - SEE DESCRIPTION),"This test measures key hormones in your blood that show how well your thyroid gland is working. It checks levels of signals like TSH, T4, and T3.","The Thyroid Panel uses a blood sample to measure the levels of several hormones related to the thyroid gland's function. These markers include TSH (Thyroid-Stimulating Hormone), which acts as a signal telling the thyroid what to do, along with the actual hormones, Free T4 and Free T3. Doctors order this test when symptoms suggest an imbalance, such as unexplained changes in energy levels or weight. Abnormal results can indicate that the thyroid is either overactive (hyperthyroidism) or underactive (hypothyroidism). These findings help healthcare providers determine if treatment is needed but must always be interpreted alongside your physical exam and medical history."
THYROID PNL W/TSH,This test measures Thyroid Stimulating Hormone (TSH) and related markers in your blood to check how well your thyroid gland is functioning.,"This blood test evaluates the function of the thyroid gland by measuring Thyroid Stimulating Hormone (TSH) levels, along with other associated antibodies. TSH is a hormone released by the pituitary gland that signals the thyroid to produce enough hormones for the body. Doctors order this panel when they need to determine if your thyroid is working correctly or if an underlying condition, such as autoimmune disease, may be present. Abnormal results can indicate conditions like hypothyroidism (underactive) or hyperthyroidism (overactive). These findings help guide treatment decisions but are interpreted by a healthcare provider alongside your symptoms and physical exam."
TESTOSTERONE TOTAL,"Measures the total amount of testosterone, a key male sex hormone, circulating in your blood.","This test measures the overall concentration of testosterone—a primary sex hormone—in a sample of blood. Doctors order this test to evaluate hormonal balance and assess potential causes for symptoms such as low energy, changes in muscle mass, or decreased libido (sex drive). The results help determine if the body is producing adequate levels of this hormone. Abnormal levels may indicate underlying conditions that require further investigation and management by a healthcare provider."
DIHYDROTESTOSTERONE,"This test measures dihydrotestosterone (DHT), a potent hormone related to testosterone, found in your blood. It helps doctors understand how your body processes and uses these male sex hormones.","Dihydrotestosterone is a naturally occurring hormone that is derived from testosterone and plays a role in the body's overall balance of male sex hormones. This test measures the level of DHT in the blood to help evaluate how effectively the body converts and utilizes these compounds. Doctors may order this test when they need to assess potential issues with androgen metabolism, such as those related to prostate health or hair patterns. Elevated levels can sometimes be associated with conditions like benign prostatic hyperplasia (enlarged prostate), but results must always be interpreted alongside your medical history, physical exam findings, and other lab tests."
TSH PREGNANCY,This test measures Thyroid-Stimulating Hormone (TSH) levels in the blood of pregnant individuals to check thyroid function.,"The TSH PREGNANCY test measures the level of Thyroid-Stimulating Hormone (TSH), a hormone that signals the thyroid gland to produce necessary thyroid hormones. This test is ordered during pregnancy because hormonal changes can affect how the body processes these vital hormones, requiring careful monitoring. Abnormal levels—either too high or too low—may indicate an imbalance in the thyroid gland's function. Such imbalances need medical management to ensure adequate hormone supply for both the mother and the developing baby."
HIV 1 VIRTUAL PHENO.,"This test analyzes the specific genes of the HIV-1 virus to identify its unique characteristics, which helps doctors monitor for potential drug resistance.","The HIV 1 VIRTUAL PHENO test examines the genetic makeup of the virus. It is ordered by healthcare providers to determine if the virus has changed over time or developed traits that might make it resistant to current medications. By identifying these specific genetic markers, doctors can adjust treatment plans to ensure the most effective combination of drugs is used. The results help guide medical care and are crucial for monitoring a person's ongoing management of HIV-1."
HIV-1 RNA QN/VIRTUAL,"This test counts the number of active HIV-1 particles (genetic material, or RNA) circulating in your blood. It helps doctors monitor if treatment is successfully controlling the virus.","This quantitative test measures the amount of HIV-1 genetic material (RNA) present in a sample of blood plasma. The primary purpose of this test is to determine the viral load, which tracks how much virus is circulating in the body over time. Doctors order this test mainly to monitor treatment effectiveness; for example, after starting antiretroviral therapy. A low or undetectable result generally suggests that the medication is successfully controlling the virus. Conversely, a rising or high count may indicate that the virus is not being adequately suppressed by current treatments."
CHLAMYDIA SDA,"This test detects the genetic material of *Chlamydia trachomatis*, a common bacteria that causes infections. It helps determine if an active infection is present in the sample collected.","The CHLAMYDIA SDA test measures the presence of the genetic material (DNA) belonging to *Chlamydia trachomatis*. This test is ordered when a healthcare provider suspects a sexually transmitted infection or other chlamydial-related illness, often based on symptoms or physical examination findings. A positive result indicates that the genetic material of this bacteria was found in the sample; however, it does not confirm an active disease and requires correlation with clinical signs. Negative results suggest no detectable presence of the organism at the time of testing. Both positive and negative results must be interpreted by a healthcare provider alongside your medical history."
"Neisseria gonorrhoeae RNA, TMA, Urogenital (Gonorrhea)","This test detects genetic material from Neisseria gonorrhoeae, a bacterium that causes gonorrhea. It is used in urogenital samples to confirm an active infection.","This molecular test measures the presence of specific genetic material (RNA) belonging to *Neisseria gonorrhoeae* bacteria within samples taken from the urinary or genital areas. The primary purpose of this test is diagnostic, helping healthcare providers determine if a person has an active gonorrhea infection when symptoms or physical exam findings are concerning. A positive result indicates that the bacteria are present and require treatment. Conversely, a negative result suggests the organism was not detected in the sample but should be interpreted alongside the patient's clinical history and examination findings."
"HIV-1 and HIV-2 RNA, Qualitative Real-Time PCR",This test detects the specific genetic material (RNA) from HIV-1 and HIV-2 viruses in your blood. It indicates whether the virus is currently active and detectable.,"This molecular test measures the presence of the actual genetic material, called RNA, belonging to both HIV-1 and HIV-2 viruses. Unlike tests that look for antibodies (which are markers the body makes), this method detects if the virus itself is actively replicating in the bloodstream. Physicians order this test when they need confirmation of active infection or when antibody results are unclear. A positive result means the viral genetic material was found, suggesting an ongoing presence of the virus; however, these findings must be interpreted alongside your medical history and physical exam to determine clinical status."
CHLAMYDIA PNEUM. PCR,"This test detects the genetic material (DNA) of *Chlamydia pneumoniae*, a bacteria that can cause respiratory illness. It helps determine if you have an active infection.","The Chlamydia Pneumoniae PCR test measures the presence of specific DNA from *Chlamydia pneumoniae* in collected samples. This molecular test is ordered to confirm whether a person has an active infection, particularly when symptoms such as cough or fever are present. The results help clinicians determine if this bacteria is contributing to respiratory illness like pneumonia or bronchitis. A positive result indicates that the genetic material of the bacteria was found; however, a negative result does not completely rule out other possible causes for your symptoms."
"Chlamydia/Neisseria gonorrhoeae RNA, TMA, Rectal",This test detects the genetic material (RNA) of *Chlamydia* or *Neisseria gonorrhoeae* bacteria in a sample taken from the rectum. It helps determine if these infections are present at that specific site.,"This molecular test analyzes a sample collected from the rectum to detect the presence of genetic material (RNA) belonging to *Chlamydia trachomatis* or *Neisseria gonorrhoeae*. These pathogens cause common bacterial infections, and this test is ordered when a healthcare provider suspects an infection in the rectal area based on symptoms, physical exam findings, or risk factors. A positive result indicates that the genetic material of one or both bacteria was found, suggesting an active infection at the site tested. Because these are treatable conditions, a positive finding requires follow-up and appropriate medical management to prevent complications."
CHLAMYDIA AB PNL 3,This blood test measures antibodies—proteins made by your immune system—that react to Chlamydia. It indicates if you have been exposed to the bacteria.,"This laboratory test detects specific antibodies in the blood that are formed in response to Chlamydia infection. Doctors order this test when they need to determine if a person has had contact with or been infected by Chlamydia, particularly when symptoms are mild or unclear. A positive result suggests that your immune system has encountered Chlamydia at some point. However, because antibodies can persist long after an initial exposure, and because the presence of antibodies does not confirm active infection, these results must be interpreted alongside physical exam findings and medical history."
HIV-1 QUANT W/REFLEX,This test counts the number of copies of HIV-1 virus found in your blood sample. It helps doctors track how active the infection is over time.,"This test measures the viral load, which is the amount of HIV-1 genetic material present in a blood sample. Doctors order this test primarily to monitor the activity level of an established infection or to check if current medications are working effectively. The results indicate how much virus is circulating; high levels suggest active replication, while low or undetectable levels usually mean the virus has been successfully suppressed by treatment. This measurement helps guide medical decisions regarding ongoing care and therapy adjustments."
CHLAMYDIA PNEU.PNL,"This test detects the genetic material of Chlamydia trachomatis, a common bacterium. It is used to determine if this organism is present in samples from your respiratory system.","This molecular test measures the presence of the DNA belonging to *Chlamydia trachomatis* within specimens collected from the airways or lungs. It is ordered when a healthcare provider suspects that an infection, such as pneumonia or bronchitis, may be caused by this specific bacterium. A positive result indicates that the genetic material of Chlamydia was found in the sample; however, it does not confirm the cause of symptoms alone and must be interpreted alongside your clinical history and physical exam findings. These results are crucial for guiding appropriate antibiotic treatment to manage the infection."
"HIV-1 RNA, QN, RT PCR",This test measures the amount of HIV-1 genetic material (RNA) in your blood. It helps doctors track how active the virus is over time.,"This test quantifies the level of HIV-1 RNA, which is the genetic material of the virus, present in a blood sample. It is primarily used to monitor viral load, meaning it measures the concentration of the virus when a person has already been diagnosed with HIV. Doctors order this test to determine if current medications are effectively controlling the infection or if the viral activity level is changing. A high result suggests active replication of the virus, while an undetectable or very low result generally indicates that treatment is successfully keeping the virus controlled."
CHLAMYDIA AG DFA,This test detects specific proteins (antigens) produced by *Chlamydia* bacteria. A positive result suggests an active infection with this common bacterium.,"The Chlamydia Antigen DFA test measures the presence of specific proteins, or antigens, released by *Chlamydia trachomatis*. This bacterial infection can affect various parts of the body and is typically ordered to confirm an active diagnosis when symptoms are present or if risk factors are identified. The test detects these markers using a fluorescent antibody method. A positive result indicates that the bacteria's materials were found in the sample, while a negative result suggests no detectable infection at the time of testing."
HEP B SURF AG W/CONF STD TEST,"This test detects the Hepatitis B surface antigen (HBsAg), a protein found on the outer layer of the Hepatitis B virus. Its presence in the blood suggests potential current infection.","The Hepatitis B surface antigen (HBsAg) is a marker detected by this test that indicates the body has been exposed to and may be currently infected with the Hepatitis B virus. Doctors order this test primarily for diagnostic evaluation, helping determine if an individual has active hepatitis B infection or needs preventative care. A positive result suggests the presence of the viral antigen, which requires further medical assessment to determine the stage and necessary management plan. This testing is often performed when a person presents with symptoms like fatigue or jaundice, or as part of routine health monitoring."
